<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.07.01	00:00:00	1.17812	1.17855	1.17785	1.17829	312	0	13
2025.07.01	00:05:00	1.17829	1.17833	1.17769	1.17808	291	0	10
2025.07.01	00:10:00	1.17809	1.17846	1.17809	1.17841	127	0	8
2025.07.01	00:15:00	1.17839	1.17873	1.17831	1.17868	134	0	9
2025.07.01	00:20:00	1.17868	1.17875	1.17860	1.17862	124	0	7
2025.07.01	00:25:00	1.17860	1.17885	1.17856	1.17885	94	0	7
2025.07.01	00:30:00	1.17883	1.17905	1.17870	1.17873	112	0	10
2025.07.01	00:35:00	1.17873	1.17874	1.17849	1.17863	106	0	9
2025.07.01	00:40:00	1.17865	1.17870	1.17853	1.17864	73	0	5
2025.07.01	00:45:00	1.17862	1.17871	1.17859	1.17862	94	0	5
2025.07.01	00:50:00	1.17862	1.17878	1.17851	1.17854	73	0	5
2025.07.01	00:55:00	1.17854	1.17860	1.17840	1.17851	85	0	5
2025.07.01	01:00:00	1.17852	1.17857	1.17844	1.17853	89	0	8
2025.07.01	01:05:00	1.17852	1.17871	1.17851	1.17862	76	0	5
2025.07.01	01:10:00	1.17861	1.17867	1.17847	1.17855	80	0	5
2025.07.01	01:15:00	1.17855	1.17862	1.17850	1.17857	96	0	6
2025.07.01	01:20:00	1.17857	1.17858	1.17844	1.17849	78	0	6
2025.07.01	01:25:00	1.17849	1.17850	1.17832	1.17841	72	0	7
2025.07.01	01:30:00	1.17842	1.17851	1.17829	1.17836	88	0	5
2025.07.01	01:35:00	1.17835	1.17853	1.17833	1.17844	70	0	5
2025.07.01	01:40:00	1.17844	1.17845	1.17827	1.17835	65	0	6
2025.07.01	01:45:00	1.17836	1.17849	1.17826	1.17848	92	0	10
2025.07.01	01:50:00	1.17847	1.17855	1.17835	1.17837	147	0	8
2025.07.01	01:55:00	1.17837	1.17867	1.17831	1.17859	147	0	8
2025.07.01	02:00:00	1.17859	1.17903	1.17858	1.17901	353	0	8
2025.07.01	02:05:00	1.17903	1.17909	1.17892	1.17899	207	0	9
2025.07.01	02:10:00	1.17896	1.17937	1.17895	1.17936	231	0	8
2025.07.01	02:15:00	1.17936	1.17943	1.17919	1.17924	210	0	8
2025.07.01	02:20:00	1.17923	1.17923	1.17858	1.17872	245	0	8
2025.07.01	02:25:00	1.17876	1.17929	1.17874	1.17906	250	0	8
2025.07.01	02:30:00	1.17905	1.17944	1.17905	1.17926	222	0	8
2025.07.01	02:35:00	1.17928	1.17936	1.17907	1.17913	180	0	9
2025.07.01	02:40:00	1.17912	1.17925	1.17902	1.17910	141	0	8
2025.07.01	02:45:00	1.17909	1.17938	1.17903	1.17934	224	0	8
2025.07.01	02:50:00	1.17935	1.17954	1.17929	1.17937	201	0	9
2025.07.01	02:55:00	1.17940	1.17974	1.17940	1.17970	219	0	9
2025.07.01	03:00:00	1.17971	1.17973	1.17950	1.17954	223	0	8
2025.07.01	03:05:00	1.17953	1.17955	1.17931	1.17941	202	0	8
2025.07.01	03:10:00	1.17941	1.17956	1.17916	1.17951	165	0	9
2025.07.01	03:15:00	1.17951	1.17985	1.17950	1.17984	296	0	8
2025.07.01	03:20:00	1.17984	1.18072	1.17948	1.17957	574	0	8
2025.07.01	03:25:00	1.17958	1.17959	1.17926	1.17929	238	0	9
2025.07.01	03:30:00	1.17929	1.17929	1.17881	1.17891	252	0	9
2025.07.01	03:35:00	1.17889	1.17892	1.17848	1.17872	255	0	9
2025.07.01	03:40:00	1.17871	1.17888	1.17845	1.17873	182	0	8
2025.07.01	03:45:00	1.17875	1.17880	1.17836	1.17839	133	0	8
2025.07.01	03:50:00	1.17836	1.17839	1.17790	1.17791	327	0	8
2025.07.01	03:55:00	1.17793	1.17821	1.17790	1.17797	317	0	9
2025.07.01	04:00:00	1.17798	1.17804	1.17773	1.17796	407	0	8
2025.07.01	04:05:00	1.17794	1.17821	1.17787	1.17794	206	0	8
2025.07.01	04:10:00	1.17791	1.17806	1.17787	1.17795	113	0	9
2025.07.01	04:15:00	1.17795	1.17828	1.17795	1.17805	184	0	8
2025.07.01	04:20:00	1.17805	1.17806	1.17795	1.17802	145	0	8
2025.07.01	04:25:00	1.17801	1.17824	1.17798	1.17813	132	0	8
2025.07.01	04:30:00	1.17815	1.17834	1.17812	1.17824	103	0	9
2025.07.01	04:35:00	1.17823	1.17846	1.17804	1.17843	114	0	9
2025.07.01	04:40:00	1.17842	1.17843	1.17824	1.17831	109	0	6
2025.07.01	04:45:00	1.17832	1.17870	1.17829	1.17865	128	0	7
2025.07.01	04:50:00	1.17864	1.17882	1.17858	1.17874	98	0	5
2025.07.01	04:55:00	1.17873	1.17892	1.17873	1.17876	122	0	8
2025.07.01	05:00:00	1.17876	1.17899	1.17871	1.17893	133	0	9
2025.07.01	05:05:00	1.17895	1.17896	1.17873	1.17893	109	0	9
2025.07.01	05:10:00	1.17892	1.17909	1.17888	1.17909	134	0	8
2025.07.01	05:15:00	1.17908	1.17923	1.17899	1.17919	109	0	6
2025.07.01	05:20:00	1.17918	1.17935	1.17917	1.17931	113	0	8
2025.07.01	05:25:00	1.17930	1.17934	1.17890	1.17890	143	0	5
2025.07.01	05:30:00	1.17891	1.17898	1.17864	1.17871	122	0	8
2025.07.01	05:35:00	1.17869	1.17919	1.17861	1.17919	129	0	9
2025.07.01	05:40:00	1.17920	1.17926	1.17908	1.17920	218	0	9
2025.07.01	05:45:00	1.17919	1.17927	1.17916	1.17920	175	0	8
2025.07.01	05:50:00	1.17918	1.17920	1.17884	1.17887	123	0	9
2025.07.01	05:55:00	1.17883	1.17890	1.17868	1.17889	192	0	8
2025.07.01	06:00:00	1.17891	1.17902	1.17875	1.17882	227	0	8
2025.07.01	06:05:00	1.17881	1.17892	1.17856	1.17888	156	0	8
2025.07.01	06:10:00	1.17888	1.17926	1.17885	1.17920	144	0	8
2025.07.01	06:15:00	1.17919	1.17926	1.17909	1.17920	123	0	9
2025.07.01	06:20:00	1.17919	1.17934	1.17916	1.17925	138	0	7
2025.07.01	06:25:00	1.17925	1.17934	1.17898	1.17901	121	0	8
2025.07.01	06:30:00	1.17900	1.17902	1.17874	1.17883	146	0	9
2025.07.01	06:35:00	1.17881	1.17903	1.17866	1.17871	185	0	8
2025.07.01	06:40:00	1.17868	1.17877	1.17847	1.17848	108	0	8
2025.07.01	06:45:00	1.17846	1.17866	1.17840	1.17861	140	0	9
2025.07.01	06:50:00	1.17860	1.17863	1.17832	1.17841	103	0	6
2025.07.01	06:55:00	1.17841	1.17859	1.17824	1.17857	131	0	8
2025.07.01	07:00:00	1.17860	1.17863	1.17845	1.17852	123	0	7
2025.07.01	07:05:00	1.17850	1.17873	1.17847	1.17851	136	0	7
2025.07.01	07:10:00	1.17853	1.17867	1.17845	1.17846	123	0	6
2025.07.01	07:15:00	1.17845	1.17845	1.17820	1.17824	121	0	6
2025.07.01	07:20:00	1.17825	1.17858	1.17824	1.17857	130	0	7
2025.07.01	07:25:00	1.17856	1.17875	1.17841	1.17866	121	0	6
2025.07.01	07:30:00	1.17868	1.17889	1.17866	1.17878	175	0	7
2025.07.01	07:35:00	1.17876	1.17887	1.17859	1.17860	91	0	7
2025.07.01	07:40:00	1.17859	1.17862	1.17827	1.17841	158	0	6
2025.07.01	07:45:00	1.17841	1.17841	1.17802	1.17808	218	0	6
2025.07.01	07:50:00	1.17809	1.17843	1.17796	1.17832	233	0	6
2025.07.01	07:55:00	1.17832	1.17870	1.17832	1.17860	281	0	6
2025.07.01	08:00:00	1.17856	1.17856	1.17789	1.17816	344	0	6
2025.07.01	08:05:00	1.17815	1.17825	1.17786	1.17792	224	0	6
2025.07.01	08:10:00	1.17792	1.17799	1.17766	1.17780	260	0	6
2025.07.01	08:15:00	1.17788	1.17798	1.17772	1.17780	152	0	7
2025.07.01	08:20:00	1.17779	1.17792	1.17751	1.17774	254	0	6
2025.07.01	08:25:00	1.17774	1.17821	1.17768	1.17816	212	0	6
2025.07.01	08:30:00	1.17815	1.17825	1.17794	1.17817	206	0	6
2025.07.01	08:35:00	1.17815	1.17821	1.17769	1.17812	224	0	6
2025.07.01	08:40:00	1.17810	1.17837	1.17807	1.17834	221	0	6
2025.07.01	08:45:00	1.17835	1.17840	1.17809	1.17839	213	0	6
2025.07.01	08:50:00	1.17839	1.17862	1.17807	1.17825	270	0	6
2025.07.01	08:55:00	1.17824	1.17827	1.17783	1.17789	302	0	6
2025.07.01	09:00:00	1.17791	1.17794	1.17667	1.17724	550	0	6
2025.07.01	09:05:00	1.17735	1.17776	1.17727	1.17768	498	0	7
2025.07.01	09:10:00	1.17769	1.17843	1.17761	1.17837	443	0	6
2025.07.01	09:15:00	1.17838	1.17862	1.17810	1.17860	360	0	6
2025.07.01	09:20:00	1.17860	1.17874	1.17822	1.17828	375	0	6
2025.07.01	09:25:00	1.17827	1.17853	1.17820	1.17842	244	0	6
2025.07.01	09:30:00	1.17847	1.17860	1.17821	1.17832	276	0	6
2025.07.01	09:35:00	1.17833	1.17860	1.17809	1.17848	320	0	6
2025.07.01	09:40:00	1.17846	1.17850	1.17804	1.17833	364	0	7
2025.07.01	09:45:00	1.17824	1.17827	1.17778	1.17806	366	0	6
2025.07.01	09:50:00	1.17806	1.17827	1.17784	1.17811	214	0	7
2025.07.01	09:55:00	1.17813	1.17859	1.17812	1.17856	365	0	6
2025.07.01	10:00:00	1.17831	1.17846	1.17791	1.17809	463	0	6
2025.07.01	10:05:00	1.17804	1.17829	1.17778	1.17816	367	0	6
2025.07.01	10:10:00	1.17815	1.17815	1.17739	1.17770	410	0	6
2025.07.01	10:15:00	1.17768	1.17818	1.17757	1.17818	388	0	6
2025.07.01	10:20:00	1.17816	1.17870	1.17799	1.17870	414	0	6
2025.07.01	10:25:00	1.17868	1.17881	1.17840	1.17880	305	0	6
2025.07.01	10:30:00	1.17879	1.17960	1.17850	1.17927	358	0	6
2025.07.01	10:35:00	1.17925	1.17979	1.17894	1.17958	399	0	6
2025.07.01	10:40:00	1.17960	1.17960	1.17906	1.17924	308	0	6
2025.07.01	10:45:00	1.17926	1.17979	1.17919	1.17968	426	0	6
2025.07.01	10:50:00	1.17967	1.18166	1.17952	1.18142	560	0	6
2025.07.01	10:55:00	1.18144	1.18157	1.18038	1.18042	553	0	6
2025.07.01	11:00:00	1.18042	1.18042	1.17996	1.18033	380	0	6
2025.07.01	11:05:00	1.18027	1.18056	1.17962	1.17996	348	0	7
2025.07.01	11:10:00	1.18000	1.18021	1.17962	1.18021	332	0	6
2025.07.01	11:15:00	1.18021	1.18164	1.18021	1.18137	456	0	6
2025.07.01	11:20:00	1.18139	1.18154	1.18098	1.18152	494	0	6
2025.07.01	11:25:00	1.18153	1.18181	1.18133	1.18140	434	0	6
2025.07.01	11:30:00	1.18142	1.18291	1.18133	1.18254	496	0	6
2025.07.01	11:35:00	1.18255	1.18260	1.18206	1.18226	386	0	6
2025.07.01	11:40:00	1.18228	1.18251	1.18179	1.18206	338	0	6
2025.07.01	11:45:00	1.18207	1.18242	1.18185	1.18191	279	0	6
2025.07.01	11:50:00	1.18191	1.18209	1.18160	1.18165	357	0	6
2025.07.01	11:55:00	1.18162	1.18166	1.18127	1.18133	427	0	6
2025.07.01	12:00:00	1.18134	1.18166	1.18117	1.18162	444	0	6
2025.07.01	12:05:00	1.18164	1.18199	1.18145	1.18193	270	0	6
2025.07.01	12:10:00	1.18194	1.18228	1.18171	1.18211	258	0	6
2025.07.01	12:15:00	1.18211	1.18216	1.18138	1.18144	291	0	6
2025.07.01	12:20:00	1.18146	1.18149	1.18108	1.18115	265	0	6
2025.07.01	12:25:00	1.18114	1.18143	1.18104	1.18143	295	0	6
2025.07.01	12:30:00	1.18143	1.18180	1.18138	1.18155	182	0	6
2025.07.01	12:35:00	1.18158	1.18178	1.18108	1.18110	171	0	6
2025.07.01	12:40:00	1.18114	1.18150	1.18101	1.18150	204	0	6
2025.07.01	12:45:00	1.18152	1.18185	1.18135	1.18175	199	0	6
2025.07.01	12:50:00	1.18175	1.18188	1.18158	1.18161	158	0	5
2025.07.01	12:55:00	1.18154	1.18161	1.18108	1.18108	243	0	6
2025.07.01	13:00:00	1.18105	1.18125	1.18086	1.18114	238	0	6
2025.07.01	13:05:00	1.18111	1.18134	1.18105	1.18128	198	0	6
2025.07.01	13:10:00	1.18131	1.18136	1.18082	1.18097	216	0	7
2025.07.01	13:15:00	1.18095	1.18098	1.18064	1.18094	228	0	6
2025.07.01	13:20:00	1.18093	1.18094	1.18059	1.18072	169	0	6
2025.07.01	13:25:00	1.18072	1.18086	1.18050	1.18076	263	0	6
2025.07.01	13:30:00	1.18077	1.18094	1.18067	1.18084	208	0	6
2025.07.01	13:35:00	1.18082	1.18102	1.18076	1.18097	233	0	6
2025.07.01	13:40:00	1.18097	1.18165	1.18097	1.18163	308	0	6
